,data,codigo,chuva,hora
0,2024-12-01,2350023,0.0,2024-12-01 07:00:00
1,2024-12-01,2350023,0.0,2024-12-01 08:00:00
2,2024-12-01,2350023,0.0,2024-12-01 09:00:00
3,2024-12-01,2350023,0.0,2024-12-01 10:00:00
4,2024-12-01,2350023,0.0,2024-12-01 11:00:00
5,2024-12-01,2350023,0.0,2024-12-01 12:00:00
6,2024-12-01,2350023,0.0,2024-12-01 13:00:00
7,2024-12-01,2350023,0.0,2024-12-01 14:00:00
8,2024-12-01,2350023,0.0,2024-12-01 15:00:00
9,2024-12-01,2350023,0.0,2024-12-01 16:00:00
10,2024-12-01,2350023,0.0,2024-12-01 17:00:00
11,2024-12-01,2350023,0.0,2024-12-01 18:00:00
12,2024-12-01,2350023,0.0,2024-12-01 19:00:00
13,2024-12-01,2350023,0.0,2024-12-01 20:00:00
14,2024-12-01,2350023,0.0,2024-12-01 21:00:00
15,2024-12-01,2350023,0.0,2024-12-01 22:00:00
16,2024-12-01,2350023,0.0,2024-12-01 23:00:00
17,2024-12-02,2350023,0.0,2024-12-02 00:00:00
18,2024-12-02,2350023,0.0,2024-12-02 01:00:00
19,2024-12-02,2350023,0.0,2024-12-02 02:00:00
20,2024-12-02,2350023,0.0,2024-12-02 03:00:00
21,2024-12-02,2350023,0.0,2024-12-02 04:00:00
22,2024-12-02,2350023,0.0,2024-12-02 05:00:00
23,2024-12-02,2350023,0.0,2024-12-02 06:00:00
24,2024-12-02,2350023,0.0,2024-12-02 07:00:00
25,2024-12-02,2350023,0.0,2024-12-02 08:00:00
26,2024-12-02,2350023,0.0,2024-12-02 09:00:00
27,2024-12-02,2350023,0.0,2024-12-02 10:00:00
28,2024-12-02,2350023,0.0,2024-12-02 11:00:00
29,2024-12-02,2350023,0.0,2024-12-02 12:00:00
30,2024-12-02,2350023,0.0,2024-12-02 13:00:00
31,2024-12-02,2350023,0.0,2024-12-02 14:00:00
32,2024-12-02,2350023,0.0,2024-12-02 15:00:00
33,2024-12-02,2350023,0.0,2024-12-02 16:00:00
34,2024-12-02,2350023,33.9,2024-12-02 17:00:00
35,2024-12-02,2350023,0.0,2024-12-02 18:00:00
36,2024-12-02,2350023,0.0,2024-12-02 19:00:00
37,2024-12-02,2350023,0.0,2024-12-02 20:00:00
38,2024-12-02,2350023,0.0,2024-12-02 21:00:00
39,2024-12-02,2350023,0.0,2024-12-02 22:00:00
40,2024-12-02,2350023,0.0,2024-12-02 23:00:00
41,2024-12-03,2350023,0.0,2024-12-03 00:00:00
42,2024-12-03,2350023,0.0,2024-12-03 01:00:00
43,2024-12-03,2350023,0.0,2024-12-03 02:00:00
44,2024-12-03,2350023,0.0,2024-12-03 03:00:00
45,2024-12-03,2350023,0.0,2024-12-03 04:00:00
46,2024-12-03,2350023,0.0,2024-12-03 05:00:00
47,2024-12-03,2350023,0.0,2024-12-03 06:00:00
48,2024-12-03,2350023,14.8,2024-12-03 07:00:00
49,2024-12-03,2350023,0.0,2024-12-03 08:00:00
50,2024-12-03,2350023,0.0,2024-12-03 09:00:00
51,2024-12-03,2350023,0.0,2024-12-03 10:00:00
52,2024-12-03,2350023,0.0,2024-12-03 11:00:00
53,2024-12-03,2350023,0.0,2024-12-03 12:00:00
54,2024-12-03,2350023,0.0,2024-12-03 13:00:00
55,2024-12-03,2350023,0.0,2024-12-03 14:00:00
56,2024-12-03,2350023,0.0,2024-12-03 15:00:00
57,2024-12-03,2350023,0.0,2024-12-03 16:00:00
58,2024-12-03,2350023,0.0,2024-12-03 17:00:00
59,2024-12-03,2350023,0.0,2024-12-03 18:00:00
60,2024-12-03,2350023,0.0,2024-12-03 19:00:00
61,2024-12-03,2350023,0.0,2024-12-03 20:00:00
62,2024-12-03,2350023,0.0,2024-12-03 21:00:00
63,2024-12-03,2350023,0.0,2024-12-03 22:00:00
64,2024-12-03,2350023,0.0,2024-12-03 23:00:00
65,2024-12-04,2350023,0.0,2024-12-04 00:00:00
66,2024-12-04,2350023,0.0,2024-12-04 01:00:00
67,2024-12-04,2350023,0.0,2024-12-04 02:00:00
68,2024-12-04,2350023,0.0,2024-12-04 03:00:00
69,2024-12-04,2350023,0.0,2024-12-04 04:00:00
70,2024-12-04,2350023,0.0,2024-12-04 05:00:00
71,2024-12-04,2350023,0.0,2024-12-04 06:00:00
72,2024-12-04,2350023,0.0,2024-12-04 07:00:00
73,2024-12-04,2350023,0.0,2024-12-04 08:00:00
74,2024-12-04,2350023,0.0,2024-12-04 09:00:00
75,2024-12-04,2350023,0.0,2024-12-04 10:00:00
76,2024-12-04,2350023,0.0,2024-12-04 11:00:00
77,2024-12-04,2350023,0.0,2024-12-04 12:00:00
78,2024-12-04,2350023,0.0,2024-12-04 13:00:00
79,2024-12-04,2350023,0.0,2024-12-04 14:00:00
80,2024-12-04,2350023,0.0,2024-12-04 15:00:00
81,2024-12-04,2350023,0.0,2024-12-04 16:00:00
82,2024-12-04,2350023,0.0,2024-12-04 17:00:00
83,2024-12-04,2350023,0.0,2024-12-04 18:00:00
84,2024-12-04,2350023,0.0,2024-12-04 19:00:00
85,2024-12-04,2350023,0.0,2024-12-04 20:00:00
86,2024-12-04,2350023,0.0,2024-12-04 21:00:00
87,2024-12-04,2350023,0.0,2024-12-04 22:00:00
88,2024-12-04,2350023,0.0,2024-12-04 23:00:00
89,2024-12-05,2350023,0.0,2024-12-05 00:00:00
90,2024-12-05,2350023,0.0,2024-12-05 01:00:00
91,2024-12-05,2350023,0.0,2024-12-05 02:00:00
92,2024-12-05,2350023,0.0,2024-12-05 03:00:00
93,2024-12-05,2350023,0.0,2024-12-05 04:00:00
94,2024-12-05,2350023,0.0,2024-12-05 05:00:00
95,2024-12-05,2350023,0.0,2024-12-05 06:00:00
96,2024-12-05,2350023,0.0,2024-12-05 07:00:00
97,2024-12-05,2350023,0.0,2024-12-05 08:00:00
98,2024-12-05,2350023,0.0,2024-12-05 09:00:00
99,2024-12-05,2350023,0.0,2024-12-05 10:00:00
100,2024-12-05,2350023,0.0,2024-12-05 11:00:00
101,2024-12-05,2350023,0.0,2024-12-05 12:00:00
102,2024-12-05,2350023,0.0,2024-12-05 13:00:00
103,2024-12-05,2350023,0.0,2024-12-05 14:00:00
104,2024-12-05,2350023,0.0,2024-12-05 15:00:00
105,2024-12-05,2350023,0.0,2024-12-05 16:00:00
106,2024-12-05,2350023,0.0,2024-12-05 17:00:00
107,2024-12-05,2350023,0.0,2024-12-05 18:00:00
108,2024-12-05,2350023,0.0,2024-12-05 19:00:00
109,2024-12-05,2350023,0.0,2024-12-05 20:00:00
110,2024-12-05,2350023,0.0,2024-12-05 21:00:00
111,2024-12-05,2350023,0.0,2024-12-05 22:00:00
112,2024-12-05,2350023,0.0,2024-12-05 23:00:00
113,2024-12-06,2350023,0.0,2024-12-06 00:00:00
114,2024-12-06,2350023,0.0,2024-12-06 01:00:00
115,2024-12-06,2350023,0.0,2024-12-06 02:00:00
116,2024-12-06,2350023,0.0,2024-12-06 03:00:00
117,2024-12-06,2350023,0.0,2024-12-06 04:00:00
118,2024-12-06,2350023,0.0,2024-12-06 05:00:00
119,2024-12-06,2350023,0.0,2024-12-06 06:00:00
120,2024-12-06,2350023,0.0,2024-12-06 07:00:00
121,2024-12-06,2350023,0.0,2024-12-06 08:00:00
122,2024-12-06,2350023,0.0,2024-12-06 09:00:00
123,2024-12-06,2350023,0.0,2024-12-06 10:00:00
124,2024-12-06,2350023,0.0,2024-12-06 11:00:00
125,2024-12-06,2350023,0.0,2024-12-06 12:00:00
