,data,codigo,chuva,hora
92,2024-12-29,2449011,0.0,2024-12-29 03:00:00
93,2024-12-29,2449011,0.0,2024-12-29 04:00:00
94,2024-12-29,2449011,0.0,2024-12-29 05:00:00
95,2024-12-29,2449011,0.0,2024-12-29 06:00:00
96,2024-12-29,2449011,0.0,2024-12-29 07:00:00
97,2024-12-29,2449011,0.0,2024-12-29 08:00:00
98,2024-12-29,2449011,0.0,2024-12-29 09:00:00
99,2024-12-29,2449011,0.0,2024-12-29 10:00:00
100,2024-12-29,2449011,0.0,2024-12-29 11:00:00
101,2024-12-29,2449011,0.0,2024-12-29 12:00:00
102,2024-12-29,2449011,0.0,2024-12-29 13:00:00
103,2024-12-29,2449011,0.0,2024-12-29 14:00:00
104,2024-12-29,2449011,0.0,2024-12-29 15:00:00
105,2024-12-29,2449011,0.0,2024-12-29 16:00:00
106,2024-12-29,2449011,0.0,2024-12-29 17:00:00
107,2024-12-29,2449011,0.0,2024-12-29 18:00:00
108,2024-12-29,2449011,0.0,2024-12-29 19:00:00
109,2024-12-29,2449011,0.0,2024-12-29 20:00:00
110,2024-12-29,2449011,0.0,2024-12-29 21:00:00
111,2024-12-29,2449011,0.0,2024-12-29 22:00:00
112,2024-12-29,2449011,0.0,2024-12-29 23:00:00
113,2024-12-30,2449011,0.0,2024-12-30 00:00:00
114,2024-12-30,2449011,0.0,2024-12-30 01:00:00
115,2024-12-30,2449011,0.0,2024-12-30 02:00:00
116,2024-12-30,2449011,0.0,2024-12-30 03:00:00
117,2024-12-30,2449011,0.0,2024-12-30 04:00:00
118,2024-12-30,2449011,0.0,2024-12-30 05:00:00
119,2024-12-30,2449011,0.0,2024-12-30 06:00:00
120,2024-12-30,2449011,0.0,2024-12-30 07:00:00
121,2024-12-30,2449011,0.0,2024-12-30 08:00:00
122,2024-12-30,2449011,0.0,2024-12-30 09:00:00
123,2024-12-30,2449011,0.0,2024-12-30 10:00:00
124,2024-12-30,2449011,0.0,2024-12-30 11:00:00
125,2024-12-30,2449011,0.0,2024-12-30 12:00:00
126,2024-12-30,2449011,0.0,2024-12-30 13:00:00
127,2024-12-30,2449011,0.0,2024-12-30 14:00:00
128,2024-12-30,2449011,0.0,2024-12-30 15:00:00
129,2024-12-30,2449011,0.0,2024-12-30 16:00:00
130,2024-12-30,2449011,5.0,2024-12-30 17:00:00
